"","JoinID","marine.incr","marine.circ","SeaAge","DaysatSea"
"96","1977_139537",2.43476666666667,50,"2SW",775
"97","1986_311501",2.84965333333333,60,"2SW",862
"98","1986_339871",2.48202666666667,56,"2SW",793
"99","1986_343050",3.33299333333333,62,"2SW",845
"100","1986_343558",2.87884666666667,58,"2SW",764
"101","1986_381116",2.86994666666667,59,"2SW",848
"102","1986_381571",2.99908666666667,60,"2SW",742
"103","1986_382884",2.78918,54,"2SW",843
"104","1986_392051",2.5671,59,"2SW",891
"105","1987_452823",2.89359333333333,56,"2SW",771
"106","1987_453507",3.36046,70,"2SW",776
"107","1987_454347",2.82407333333333,60,"2SW",768
"108","1987_455666",2.66059333333333,55,"2SW",780
"109","1987_456023",2.91454,61,"2SW",796
"110","1987_470421",2.75034666666667,60,"2SW",793
"111","1987_474205",2.98210666666667,63,"2SW",780
"112","1987_478908",3.03092,68,"2SW",792
"113","1987_485429",3.18620666666667,60,"2SW",801
"114","1987_486396",3.59536,61,"2SW",792
"115","1987_489815",3.84391333333333,70,"2SW",792
"116","1987_490267",3.07270666666667,61,"2SW",792
"117","1987_494471",2.47788,56,"2SW",795
"118","1987_496790",3.34940666666667,64,"2SW",783
"119","1987_496880",3.5226,61,"2SW",770
"120","1987_521302",3.75636,80,"2SW",779
"121","1987_521611",2.71891333333333,61,"2SW",797
"122","1987_531974",3.55999333333333,68,"2SW",771
"123","1987_533104",3.17716,67,"2SW",796
"124","1987_536489",2.33546,58,"2SW",891
"125","1987_536534",2.79171333333333,69,"2SW",796
"126","1987_538126",3.10172,60,"2SW",780
"127","1987_543229",2.71358666666667,57,"2SW",793
"128","1987_549070",3.32811333333333,59,"2SW",794
"129","1988_600001",2.75958,54,"2SW",770
"130","1988_624379",3.47679333333333,65,"2SW",770
"131","1988_633759",2.97056,59,"2SW",865
"132","1988_641540",2.67836666666667,54,"2SW",769
"133","1988_642134",2.97372666666667,58,"2SW",769
"134","1988_659137",2.91164666666667,58,"2SW",870
"135","1988_663590",2.84696666666667,54,"2SW",766
"136","1988_668342",3.30918,70,"2SW",853
"137","1988_682128",3.12486,61,"2SW",770
"138","1988_691830",2.80068,57,"2SW",765
"139","1990_797275",3.11583333333333,63,"2SW",771
"140","1991_835526",2.98198666666667,59,"2SW",783
"141","1996_908415",2.75646666666667,51,"2SW",770
"142","1996_903284",3.13032666666667,63,"2SW",775
"143","1996_909231",3.3948,61,"2SW",768
"144","1996_912385",2.58832,52,"2SW",786
"145","1996_914801",2.96842,64,"2SW",766
"146","1996_929999",3.05002,53,"2SW",768
"147","1996_937642",2.73162,62,"2SW",792
"148","1996_938480",2.84159333333333,58,"2SW",790
"149","1996_947058",3.01070666666667,62,"2SW",797
"150","1979_151663",2.57353333333333,56,"2SW",808
"151","1979_154221",2.60622,51,"2SW",794
"152","1979_161824",2.48422666666667,51,"2SW",806
"153","1979_175752",2.96211333333333,57,"2SW",787
"154","1979_179417",2.56236,53,"2SW",753
"155","1979_190974",2.94232,57,"2SW",763
"156","1979_194994",2.58794666666667,51,"2SW",777
"157","1980_200726",2.43572666666667,54,"2SW",768
"158","1980_240025",2.84582,56,"2SW",774
"159","1981_299440",2.35557333333333,48,"2SW",843
"160","1982_1686",2.91496,58,"2SW",876
"161","1982_8560",2.70474666666667,57,"2SW",774
"162","1982_35833",2.885,54,"2SW",773
"163","1982_37242",3.09814666666667,65,"2SW",788
"164","1982_41728",2.52598,54,"2SW",773
"165","1983_67642",2.94995333333333,65,"2SW",798
"166","1983_72363",2.65638666666667,54,"2SW",761
"167","1983_90108",2.81934666666667,55,"2SW",766
"168","1984_1301",3.03658666666667,57,"2SW",796
"169","1984_2208",2.68512,54,"2SW",767
"170","1984_2292",2.6557,56,"2SW",796
"171","1984_2758",3.25068,61,"2SW",793
"172","1984_7894",2.77418,65,"2SW",796
"173","1984_10690",2.79655333333333,62,"2SW",789
"174","1984_11393",2.91370666666667,56,"2SW",793
"175","1984_11757",2.93737333333333,59,"2SW",814
"176","1984_19866",3.27358666666667,60,"2SW",764
"177","1984_22088",2.65041333333333,56,"2SW",791
"178","1984_22396",3.09984,68,"2SW",789
"179","1984_27397",2.94093333333333,64,"2SW",772
"180","1984_32306",2.69608666666667,61,"2SW",769
"181","1984_33148",3.11902666666667,56,"2SW",766
"182","1984_35068",1.96516666666667,39,"2SW",766
"183","1984_44835",2.62200666666667,57,"2SW",766
"184","1984_48047",2.46618666666667,52,"2SW",769
"185","1984_49758",2.82238,59,"2SW",766
"186","1984_51437",3.56532666666667,61,"2SW",795
"187","1984_51484",2.76026666666667,55,"2SW",795
"188","1984_58654",2.71761333333333,57,"2SW",766
"189","1984_60986",2.8697,62,"2SW",830
"190","1984_70021",2.87642666666667,55,"2SW",769
"191","1984_76780",2.74668666666667,59,"2SW",764
"192","1984_79547",3.03185333333333,61,"2SW",793
"193","1984_80286",2.55556,56,"2SW",767
"194","1984_83045",2.74639333333333,60,"2SW",756
"195","1984_83675",3.21354666666667,55,"2SW",744
"196","1984_84756",3.07107333333333,60,"2SW",765
"197","1984_86780",3.19868,58,"2SW",775
"198","1984_87914",3.21118,54,"2SW",791
"199","1984_88607",3.00867333333333,59,"2SW",770
"200","1984_97517",3.38285333333333,65,"2SW",791
"201","1984_97720",2.91780666666667,59,"2SW",761
"202","1984_98288",2.94472,60,"2SW",794
"203","1985_103011",2.82556666666667,54,"2SW",788
"204","1985_119643",2.77182,57,"2SW",832
"205","1985_127037",3.12473333333333,58,"2SW",762
"206","1985_170569",3.22252666666667,65,"2SW",793
"207","1985_188588",2.31409333333333,55,"2SW",776
"208","1985_193376",3.55310666666667,69,"2SW",770
"209","1967_1902",0.410349333333333,7,"0SW",98
"210","1967_2599",0.306495333333333,8,"0SW",104
"211","1967_3046",0.453440666666667,9,"0SW",95
"212","1967_3603",0.390922666666667,8,"0SW",103
"213","1968_5074",0.580994,9,"0SW",111
"214","1969_5075",0.294678666666667,6,"0SW",57
"215","1967_5557",0.315531333333333,7,"0SW",99
"216","1968_9204",0.288353333333333,7,"0SW",85
"217","1972_10365",0.342696,9,"0SW",58
"218","1972_10813",0.278946666666667,7,"0SW",54
"219","1972_10838",0.553114666666667,11,"0SW",59
"220","1974_12361",0.420134,8,"0SW",85
"221","1974_15151",0.6579,13,"0SW",105
"222","1972_21733",0.586084666666667,11,"0SW",109
"223","1972_37848",0.62812,12,"0SW",108
"224","1972_39916",0.31342,8,"0SW",56
"225","1972_41901",0.593565333333334,13,"0SW",98
"226","1972_47053",0.261726666666667,7,"0SW",52
"227","1972_47800",0.390648,7,"0SW",52
"228","1972_51800",0.572222,10,"0SW",71
"229","1972_53046",0.212808666666667,8,"0SW",69
"230","1972_55343",0.475724666666667,9,"0SW",51
"231","1972_56230",0.308054666666667,7,"0SW",97
"232","1972_58621",0.51761,12,"0SW",103
"233","1972_59473",0.587126666666667,11,"0SW",78
"234","1972_60401",0.48959,8,"0SW",76
"235","1972_61572",0.540257333333333,10,"0SW",80
"236","1973_79322",0.241946666666667,7,"0SW",59
"237","1971_92852",0.121083333333333,4,"0SW",64
"238","1974_94815",0.646364666666667,15,"0SW",64
"239","1974_96452",0.517756666666667,10,"0SW",107
"240","1971_97633",0.235646666666667,6,"0SW",59
"241","1979_142388",0.748886666666667,14,"0SW",103
"242","1980_224497",0.428396,10,"0SW",85
"243","1981_293158",0.342496666666667,9,"0SW",61
"244","1966_662012",1.09488733333333,23,"0SW",180
"245","1989_706142",0.484044,9,"0SW",140
"246","1984_9",2.55965066666667,42,"1SW",469
"247","1969_26",1.76869333333333,37,"1SW",496
"248","1974_65",2.57127466666667,44,"1SW",513
"249","1974_330",2.02274133333333,42,"1SW",427
"250","1974_346",2.26601333333333,40,"1SW",409
"251","1972_365",3.02465133333333,48,"1SW",500
"252","1969_671",2.60538666666667,47,"1SW",489
"253","1969_856",1.898772,46,"1SW",499
"254","1974_1355",1.91856466666667,35,"1SW",402
"255","1967_1516",1.84937066666667,39,"1SW",463
"256","1969_1739",2.98984133333333,47,"1SW",487
"257","1984_1800",2.25188133333333,44,"1SW",457
"258","1969_1928",2.49821133333333,44,"1SW",470
"259","1972_2048",2.11142733333333,48,"1SW",465
"260","1972_2164",1.91884466666667,37,"1SW",454
"261","1972_2368",3.09468133333333,49,"1SW",493
"262","1972_2445",2.121172,45,"1SW",438
"263","1969_2449",2.247454,46,"1SW",515
"264","1969_2554",2.14828466666667,41,"1SW",489
"265","1972_2754",2.73165,46,"1SW",453
"266","1974_3008",2.73861066666667,47,"1SW",471
"267","1969_3140",2.50560933333333,41,"1SW",448
"268","1972_3193",2.37076866666667,44,"1SW",450
"269","1974_3403",2.21961533333333,46,"1SW",485
"270","1974_3443",3.04834066666667,54,"1SW",484
"271","1974_3552",2.260986,46,"1SW",468
"272","1974_3908",2.27685333333333,48,"1SW",435
"273","1972_3963",1.95876066666667,35,"1SW",454
"274","1972_3998",2.81452933333333,46,"1SW",484
"275","1974_4029",3.07196933333333,51,"1SW",578
"276","1984_4082",2.41267933333333,45,"1SW",468
"277","1974_4144",3.02619866666667,55,"1SW",503
"278","1969_4206",2.12362,41,"1SW",467
"279","1969_4343",3.33442133333333,57,"1SW",512
"280","1969_4392",1.45732933333333,36,"1SW",438
"281","1967_4618",2.10720466666667,37,"1SW",465
"282","1974_4672",2.36457933333333,44,"1SW",436
"283","1969_4690",2.09582,35,"1SW",518
"284","1969_4758",2.142096,38,"1SW",446
"285","1972_4851",2.25122,37,"1SW",483
"286","1968_4961",1.99163733333333,36,"1SW",461
"287","1969_4978",3.11270133333333,56,"1SW",480
"288","1972_5209",2.09924066666667,40,"1SW",480
"289","1969_5297",1.72811066666667,32,"1SW",473
"290","1969_5433",2.23767333333333,41,"1SW",426
"291","1984_5450",2.81586533333333,49,"1SW",474
"292","1974_5462",2.60538,43,"1SW",454
"293","1974_5635",1.99383733333333,45,"1SW",527
"294","1984_5922",2.34201666666667,42,"1SW",546
"295","1969_6128",2.22704933333333,41,"1SW",528
"296","1974_6413",3.05585533333333,54,"1SW",572
"297","1974_6568",2.656556,49,"1SW",446
"298","1972_6588",2.32289533333333,44,"1SW",454
"299","1972_6642",2.35471866666667,43,"1SW",456
"300","1969_6656",2.16486533333333,42,"1SW",487
"301","1969_6656",2.16486533333333,42,"1SW",487
"302","1969_6720",1.96254466666667,38,"1SW",469
"303","1974_6838",2.57209333333333,48,"1SW",539
"304","1982_7142",1.3089,32,"1SW",490
"305","1976_7517",2.820708,46,"1SW",435
"306","1974_7533",2.01961333333333,43,"1SW",437
"307","1974_7754",2.19132133333333,41,"1SW",445
"308","1984_7776",2.708484,50,"1SW",533
"309","1969_7797",2.321348,41,"1SW",467
"310","1968_7881",2.649306,44,"1SW",546
"311","1972_7918",2.36276733333333,40,"1SW",483
"312","1974_7958",2.45820666666667,44,"1SW",524
"313","1967_7965",2.92593666666667,50,"1SW",481
"314","1976_8037",1.86463066666667,35,"1SW",485
"315","1969_8091",2.62903666666667,43,"1SW",495
"316","1974_8092",2.486508,48,"1SW",424
"317","1969_8168",1.668798,31,"1SW",456
"318","1969_8186",2.38458,43,"1SW",494
"319","1974_8189",2.84950133333333,49,"1SW",439
"320","1974_8192",1.797684,42,"1SW",488
"321","1969_8213",1.84950933333333,36,"1SW",455
"322","1972_8277",2.65678666666667,42,"1SW",472
"323","1974_8279",2.741734,46,"1SW",444
"324","1976_8283",2.36623466666667,45,"1SW",468
"325","1976_8391",1.952974,38,"1SW",434
"326","1984_8720",1.63409666666667,32,"1SW",432
"327","1974_8843",1.98259266666667,43,"1SW",486
"328","1984_8888",2.39686533333333,44,"1SW",547
"329","1970_8906",2.07725266666667,42,"1SW",455
"330","1970_8933",1.69422666666667,32,"1SW",488
"331","1974_8954",3.228322,48,"1SW",491
"332","1970_9114",2.92188866666667,51,"1SW",483
"333","1970_9132",2.03662666666667,41,"1SW",428
"334","1970_9170",2.04350466666667,45,"1SW",469
"335","1970_9195",2.50569066666667,45,"1SW",474
"336","1969_9315",1.624694,30,"1SW",406
"337","1974_9524",2.06120933333333,44,"1SW",486
"338","1976_9566",2.448984,41,"1SW",425
"339","1974_9578",2.32928533333333,44,"1SW",417
"340","1974_9585",2.13448333333333,46,"1SW",573
"341","1970_9751",2.40376,42,"1SW",464
"342","1969_9839",1.711254,36,"1SW",472
"343","1970_9950",2.45288,44,"1SW",515
"344","1970_10035",2.80042,50,"1SW",482
"345","1970_10085",2.922494,58,"1SW",488
"346","1984_10138",2.24662266666667,39,"1SW",484
"347","1970_10243",1.57950666666667,32,"1SW",469
"348","1972_10340",2.30342466666667,46,"1SW",479
"349","1970_10474",2.24582666666667,42,"1SW",577
"350","1972_10543",2.46369266666667,43,"1SW",498
"351","1972_10557",2.17291466666667,45,"1SW",467
"352","1974_10561",1.71044133333333,38,"1SW",474
"353","1974_10712",2.511912,46,"1SW",445
"354","1974_10739",2.199422,31,"1SW",422
"355","1970_11020",2.60170266666667,42,"1SW",501
"356","1970_11281",2.112236,39,"1SW",473
"357","1972_11415",1.80537333333333,35,"1SW",405
"358","1970_11523",1.91553666666667,40,"1SW",487
"359","1970_11602",3.26299266666667,56,"1SW",488
"360","1976_11710",1.261182,28,"1SW",432
"361","1970_11875",2.684276,49,"1SW",470
"362","1976_11882",2.57766066666667,57,"1SW",485
"363","1970_11905",2.41058466666667,46,"1SW",461
"364","1972_12093",3.13855333333333,55,"1SW",516
"365","1972_12103",2.32233533333333,40,"1SW",396
"366","1974_12186",2.70904733333333,47,"1SW",448
"367","1972_12292",3.053326,47,"1SW",432
"368","1972_12379",2.11776133333333,39,"1SW",486
"369","1984_12466",2.15494866666667,45,"1SW",461
"370","1976_12490",1.83772,37,"1SW",414
"371","1970_12795",2.70132866666667,42,"1SW",443
"372","1970_12807",2.80074666666667,59,"1SW",493
"373","1970_12829",2.04240666666667,38,"1SW",397
"374","1970_12831",2.41297866666667,45,"1SW",555
"375","1974_12959",2.37948533333333,47,"1SW",455
"376","1976_13010",2.74735266666667,45,"1SW",489
"377","1976_13012",2.13970066666667,36,"1SW",427
"378","1974_13048",2.99201466666667,52,"1SW",490
"379","1970_13302",2.35123133333333,43,"1SW",458
"380","1970_13307",2.09997866666667,37,"1SW",506
"381","1974_13354",3.51486,64,"1SW",485
"382","1970_13425",2.05546866666667,42,"1SW",479
"383","1970_13443",1.924574,39,"1SW",509
"384","1974_13450",2.20780066666667,45,"1SW",488
"385","1972_13488",3.23310266666667,67,"1SW",485
"386","1984_13638",2.48887466666667,48,"1SW",557
"387","1972_13716",2.40013133333333,36,"1SW",463
"388","1972_13750",1.895124,32,"1SW",401
"389","1982_13873",2.23996733333333,42,"1SW",410
"390","1970_13882",2.60697466666667,46,"1SW",555
"391","1970_13966",2.33250666666667,41,"1SW",511
"392","1974_14067",2.12322866666667,35,"1SW",422
"393","1984_14212",2.00834466666667,42,"1SW",540
"394","1970_14234",2.61461733333333,43,"1SW",503
"395","1970_14314",1.40718533333333,35,"1SW",490
"396","1984_14541",1.93740666666667,43,"1SW",462
"397","1974_14718",2.40213466666667,48,"1SW",505
"398","1970_14779",2.20663133333333,41,"1SW",520
"399","1974_14780",1.68938533333333,37,"1SW",447
"400","1984_14803",2.45363333333333,48,"1SW",565
"401","1970_14936",1.62727666666667,37,"1SW",481
"402","1974_15076",3.127924,46,"1SW",549
"403","1974_15463",1.957812,42,"1SW",441
"404","1970_15511",1.96469666666667,39,"1SW",460
"405","1970_15661",2.23580733333333,42,"1SW",480
"406","1974_15684",2.74740666666667,41,"1SW",570
"407","1984_15784",2.552552,47,"1SW",549
"408","1984_15806",2.19751333333333,42,"1SW",531
"409","1974_15887",2.402714,50,"1SW",573
"410","1972_15986",2.86029933333333,49,"1SW",468
"411","1984_16068",2.34696266666667,42,"1SW",546
"412","1972_16073",2.372778,39,"1SW",393
"413","1970_16077",2.68858,47,"1SW",486
"414","1974_16078",1.93957,41,"1SW",445
"415","1974_16270",2.20384,43,"1SW",403
"416","1974_16432",2.85889866666667,50,"1SW",554
"417","1984_16488",2.03736,39,"1SW",463
"418","1972_16568",2.38193466666667,44,"1SW",490
"419","1976_16831",2.366746,38,"1SW",465
"420","1974_16861",2.390224,45,"1SW",549
"421","1974_16947",1.83027866666667,40,"1SW",449
"422","1972_17154",1.83859333333333,36,"1SW",446
"423","1970_17370",1.97895066666667,43,"1SW",474
"424","1974_17454",1.961788,42,"1SW",394
"425","1970_17637",2.157904,40,"1SW",494
"426","1970_17869",2.0636,36,"1SW",482
"427","1972_17960",2.45704933333333,47,"1SW",540
"428","1970_18024",1.81426466666667,40,"1SW",525
"429","1974_18069",2.46468666666667,45,"1SW",476
"430","1982_18099",2.37821333333333,43,"1SW",430
"431","1970_18518",2.62901666666667,50,"1SW",514
"432","1973_18547",2.50866133333333,45,"1SW",458
"433","1972_18742",2.76731466666667,49,"1SW",490
"434","1984_18779",2.55150666666667,48,"1SW",506
"435","1975_19009",1.90330933333333,42,"1SW",434
"436","1970_19286",1.87137533333333,38,"1SW",490
"437","1982_19387",1.99926266666667,42,"1SW",456
"438","1975_19427",2.253492,38,"1SW",428
"439","1975_19687",2.316458,39,"1SW",448
"440","1975_19749",2.23905666666667,45,"1SW",423
"441","1970_19964",2.17674333333333,41,"1SW",491
"442","1970_20016",2.37079266666667,47,"1SW",497
"443","1984_20052",2.43564066666667,43,"1SW",458
"444","1970_20058",2.29492666666667,47,"1SW",571
"445","1975_20249",2.07478933333333,44,"1SW",427
"446","1970_20331",2.95677466666667,49,"1SW",494
"447","1972_20336",2.99210733333333,50,"1SW",461
"448","1975_20350",2.19901133333333,29,"1SW",456
"449","1984_20445",2.791406,50,"1SW",560
"450","1970_20709",2.15175866666667,35,"1SW",553
"451","1975_21306",2.35997133333333,43,"1SW",445
"452","1970_21507",3.00272,51,"1SW",430
"453","1970_21665",1.99298333333333,40,"1SW",544
"454","1970_21666",2.17953733333333,44,"1SW",520
"455","1984_21732",2.15890333333333,41,"1SW",552
"456","1970_22063",1.960206,35,"1SW",492
"457","1972_22105",2.27435866666667,41,"1SW",469
"458","1984_22232",1.85038333333333,35,"1SW",458
"459","1976_22284",2.063574,43,"1SW",473
"460","1975_22374",1.74009733333333,36,"1SW",434
"461","1976_22381",1.83698666666667,37,"1SW",435
"462","1970_22467",2.54667466666667,45,"1SW",550
"463","1975_22498",2.60276533333333,45,"1SW",442
"464","1975_22504",2.04413733333333,42,"1SW",486
"465","1970_22612",2.06266066666667,36,"1SW",532
"466","1970_22626",2.266106,45,"1SW",483
"467","1970_22732",2.46427733333333,42,"1SW",513
"468","1970_22912",1.963302,38,"1SW",480
"469","1970_22964",1.84016333333333,34,"1SW",458
"470","1975_23509",2.36874266666667,37,"1SW",427
"471","1975_23566",2.20288533333333,40,"1SW",439
"472","1970_23773",2.24892733333333,41,"1SW",505
"473","1970_23817",2.082536,38,"1SW",471
"474","1984_23827",1.8979,39,"1SW",540
"475","1976_23937",2.22449333333333,45,"1SW",493
"476","1970_24005",2.26623,42,"1SW",490
"477","1976_24183",2.28545866666667,43,"1SW",426
"478","1970_24297",1.88916,41,"1SW",502
"479","1975_24771",1.641852,39,"1SW",463
"480","1970_24813",2.76338666666667,53,"1SW",504
"481","1972_25148",2.99306,50,"1SW",478
"482","1974_25188",2.05282,42,"1SW",498
"483","1972_25216",2.34414266666667,42,"1SW",565
"484","1970_25231",2.55964666666667,43,"1SW",490
"485","1970_25348",1.539106,35,"1SW",456
"486","1970_25359",1.81180333333333,36,"1SW",486
"487","1984_25377",1.907358,39,"1SW",468
"488","1982_25432",2.15193,41,"1SW",467
"489","1972_25459",2.24006,44,"1SW",462
"490","1970_25541",2.87882466666667,49,"1SW",462
"491","1972_25633",2.48519666666667,44,"1SW",563
"492","1970_25840",2.08488066666667,37,"1SW",515
"493","1970_25938",2.19276533333333,38,"1SW",483
"494","1970_25943",1.901226,43,"1SW",464
"495","1970_26022",2.760278,54,"1SW",503
"496","1970_26097",2.26686733333333,42,"1SW",502
"497","1974_26208",2.41925333333333,46,"1SW",454
"498","1970_26701",2.26124833333333,41,"1SW",560
"499","1970_26739",1.708014,41,"1SW",484
"500","1974_26947",2.44599866666667,40,"1SW",523
"501","1970_27031",2.602828,50,"1SW",526
"502","1970_27036",1.750234,37,"1SW",508
"503","1970_27218",2.29778266666667,41,"1SW",460
"504","1972_27225",2.39342533333333,41,"1SW",444
"505","1970_27495",2.60212666666667,45,"1SW",470
"506","1972_27510",2.31620733333333,42,"1SW",463
"507","1974_27990",2.22309466666667,45,"1SW",548
"508","1984_28091",1.85561666666667,42,"1SW",460
"509","1970_28161",1.96175933333333,40,"1SW",472
"510","1970_28164",2.53705733333333,50,"1SW",486
"511","1970_28280",2.52454466666667,45,"1SW",468
"512","1972_28363",2.56188666666667,41,"1SW",451
"513","1970_28367",2.305888,42,"1SW",499
"514","1970_28386",2.64883,44,"1SW",475
"515","1970_28448",2.140306,43,"1SW",517
"516","1984_28454",2.75003466666667,57,"1SW",553
"517","1984_28483",2.55027533333333,47,"1SW",567
"518","1982_28573",2.190148,44,"1SW",456
"519","1970_28692",1.946916,38,"1SW",462
"520","1972_28879",2.59371933333333,43,"1SW",486
"521","1972_29046",2.489204,49,"1SW",473
"522","1970_29159",1.60014666666667,40,"1SW",461
"523","1970_29212",2.28953133333333,42,"1SW",486
"524","1970_29523",1.907854,41,"1SW",500
"525","1970_29527",2.09535533333333,37,"1SW",560
"526","1982_29673",2.37182333333333,39,"1SW",465
"527","1974_29732",2.299588,43,"1SW",478
"528","1970_29843",1.84208,40,"1SW",536
"529","1970_29873",2.38781733333333,49,"1SW",490
"530","1970_29900",2.197824,43,"1SW",529
"531","1970_29951",1.965464,38,"1SW",453
"532","1972_29964",2.67608,46,"1SW",468
"533","1970_30130",2.25538066666667,44,"1SW",556
"534","1972_30305",3.12808866666667,46,"1SW",478
"535","1970_30307",1.82898533333333,38,"1SW",453
"536","1970_30331",3.56578,61,"1SW",499
"537","1970_30822",1.92125266666667,38,"1SW",519
"538","1970_30946",2.40206266666667,45,"1SW",461
"539","1970_30951",2.29970466666667,38,"1SW",516
"540","1970_31310",3.211802,47,"1SW",562
"541","1970_31336",2.630332,47,"1SW",510
"542","1970_31404",2.25272466666667,36,"1SW",480
"543","1972_31484",2.23200533333333,41,"1SW",484
"544","1984_31612",2.604924,49,"1SW",528
"545","1970_31979",2.05249266666667,46,"1SW",517
"546","1970_32128",3.55851733333333,57,"1SW",549
"547","1972_32174",2.67830533333333,48,"1SW",492
"548","1984_32407",2.33826,52,"1SW",540
"549","1974_32481",2.675466,46,"1SW",588
"550","1972_32567",2.82210666666667,48,"1SW",446
"551","1970_32582",2.45845333333333,46,"1SW",530
"552","1970_32616",2.461034,46,"1SW",483
"553","1970_32646",2.44174666666667,45,"1SW",526
"554","1984_32719",1.800246,40,"1SW",439
"555","1974_32838",1.70786133333333,38,"1SW",419
"556","1970_33093",2.20675,44,"1SW",474
"557","1970_33268",3.41789333333333,53,"1SW",482
