"","JoinID","Batch_TagID","RecaptureMonthNum","marine.circ","FMC","SeaAge","M1","M2","DaysatSea","ReleaseDate","RecaptureDate","annulustype","numannuli"
"1074","1980_218912","8001_218912",9,46,1.33174,1,2.76968,NA,497,1980-05-07,1981-09-16,"firstannulus",1
"1075","1980_219098","8001_219098",8,43,0.97151,1,2.22335,NA,478,1980-05-07,1981-08-28,"firstannulus",1
"1076","1980_219127","8001_219127",7,41,1.42628,1,2.93249,NA,448,1980-05-07,1981-07-29,"firstannulus",1
"1077","1980_222391","8001_222391",8,41,1.23978,1,2.32247,NA,472,1980-05-07,1981-08-22,"firstannulus",1
"1078","1980_222496","8001_222496",9,47,1.27628,1,2.55442,NA,490,1980-05-07,1981-09-09,"firstannulus",1
"1079","1980_224820","8001_224820",11,46,1.04506,1,2.48463,NA,553,1980-05-07,1981-11-11,"firstannulus",1
"1080","1980_226180","8001_226180",8,33,1.2689,1,2.3106,NA,476,1980-05-07,1981-08-26,"firstannulus",1
"1081","1980_229122","8001_229122",6,35,1.0777,1,2.405,NA,408,1980-05-07,1981-06-19,"firstannulus",1
"1082","1980_237397","8001_237397",6,33,1.48235,1,2.94535,NA,414,1980-05-07,1981-06-25,"firstannulus",1
"1083","1980_241354","8001_241354",7,40,1.09511,1,2.36669,NA,429,1980-05-07,1981-07-10,"firstannulus",1
"1084","1980_243071","8001_243071",8,47,1.46232,1,3.08059,NA,457,1980-05-07,1981-08-07,"firstannulus",1
"1085","1980_245695","8001_245695",11,46,1.45231,1,2.88182,NA,546,1980-05-07,1981-11-04,"firstannulus",1
"1086","1980_249782","8001_249782",11,44,0.95265,1,2.17851,NA,546,1980-05-07,1981-11-04,"firstannulus",1
"1087","1981_251839","8101_251839",7,33,1.06646,1,2.30704,NA,427,1981-05-08,1982-07-09,"firstannulus",1
"1088","1981_253348","8101_253348",7,31,0.67061,1,1.61824,NA,449,1981-05-08,1982-07-31,"firstannulus",1
"1089","1981_255289","8101_255289",7,37,1.21369,1,2.51684,NA,449,1981-05-08,1982-07-31,"firstannulus",1
"1090","1981_258359","8101_258359",6,38,1.52024,1,2.58505,NA,408,1981-05-08,1982-06-20,"firstannulus",1
"1091","1981_260198","8101_260198",7,42,1.48771,1,2.79486,NA,433,1981-05-08,1982-07-15,"firstannulus",1
"1092","1981_261330","8101_261330",7,38,1.51304,1,2.8718,NA,421,1981-05-08,1982-07-03,"firstannulus",1
"1093","1981_264860","8101_264860",6,43,0.89935,1,2.58442,NA,411,1981-05-08,1982-06-23,"firstannulus",1
"1094","1981_265083","8101_265083",7,39,1.55463,1,3.24466,NA,420,1981-05-08,1982-07-02,"firstannulus",1
"1095","1981_266335","8101_266335",7,34,1.17455,1,2.25243,NA,424,1981-05-08,1982-07-06,"firstannulus",1
"1096","1981_267898","8101_267898",10,52,1.46268,1,3.34844,NA,540,1981-05-08,1982-10-30,"firstannulus",1
"1097","1981_269804","8101_269804",7,37,1.51603,1,2.92566,NA,428,1981-05-08,1982-07-10,"firstannulus",1
"1098","1981_269891","8101_269891",7,42,1.33639,1,2.77187,NA,430,1981-05-08,1982-07-12,"firstannulus",1
"1099","1981_272965","8101_272965",7,58,1.27175,1,4.11507,NA,433,1981-05-08,1982-07-15,"firstannulus",1
"1100","1981_275921","8101_275921",6,44,1.2924,1,2.9189,NA,407,1981-05-08,1982-06-19,"firstannulus",1
"1101","1981_276521","8101_276521",9,37,1.039,1,2.3954,NA,482,1981-05-08,1982-09-02,"firstannulus",1
"1102","1981_276782","8101_276782",7,40,1.2784,1,2.57614,NA,439,1981-05-08,1982-07-21,"firstannulus",1
"1103","1981_280703","8101_280703",7,38,0.88452,1,2.65224,NA,421,1981-05-08,1982-07-03,"firstannulus",1
